customer,invoice_amount,days_until_due,previous_avg_delay,previous_late_payments,customer_invoice_count,payment_delay_days
Customer E,777912,45,24,9,31,36
Customer H,764703,45,37,0,31,19
Customer B,320343,7,24,10,15,34
Customer F,482459,30,33,8,1,33
Customer E,310316,30,5,6,44,14
Customer I,237155,45,20,5,14,17
Customer J,332146,15,12,7,48,25
Customer E,266823,15,12,3,40,23
Customer F,213573,7,7,1,44,14
Customer A,851368,60,2,7,24,15
Customer J,380738,45,36,4,32,34
Customer I,343880,45,14,9,9,33
Customer A,601273,45,30,8,3,29
Customer C,529404,7,33,7,21,36
Customer A,62394,15,24,9,7,31
Customer E,246243,60,16,3,18,22
Customer H,692865,30,23,2,32,14
Customer F,432812,45,17,7,12,26
Customer J,187509,60,14,1,47,10
Customer G,947904,45,12,2,48,18
Customer C,545962,7,11,6,32,27
Customer I,609921,30,31,4,17,35
Customer I,950204,60,3,6,7,15
Customer E,549687,7,28,5,17,28
Customer F,427808,60,35,4,23,32
Customer J,258622,60,36,10,42,42
Customer I,233017,30,22,5,44,15
Customer H,982847,7,24,9,19,36
Customer H,712398,15,10,10,22,23
Customer G,940136,7,5,2,22,15
Customer D,378709,30,18,4,39,16
Customer H,868910,30,37,8,29,38
Customer G,225445,15,1,2,47,7
Customer B,270800,15,25,1,7,24
Customer B,971374,45,35,0,2,27
Customer B,158976,30,39,2,6,23
Customer G,374398,15,15,4,29,17
Customer C,79959,7,22,5,31,23
Customer H,963203,60,17,8,29,36
Customer I,235636,60,38,7,41,46
Customer J,506106,60,40,10,35,42
Customer I,288161,7,28,4,24,32
Customer G,322427,15,19,0,1,6
Customer C,410589,30,30,8,1,33
Customer H,842170,45,19,0,50,12
Customer D,885471,7,35,5,13,39
Customer G,975013,60,27,6,16,36
Customer G,918668,45,14,4,6,26
Customer G,705698,15,33,9,45,41
Customer I,898097,30,26,3,5,22
Customer C,193260,30,7,10,30,20
Customer J,565895,15,20,0,10,12
Customer A,610957,7,11,1,19,10
Customer A,294119,7,9,0,32,16
Customer D,408521,45,19,7,24,16
Customer F,134120,15,3,4,50,13
Customer G,124852,60,30,2,13,26
Customer G,918485,7,7,3,25,13
Customer H,309168,7,12,7,48,23
Customer D,545793,45,19,5,11,15
Customer A,830900,60,33,1,17,22
Customer F,980631,7,13,1,16,16
Customer G,390277,7,10,4,38,22
Customer A,94033,60,30,9,10,42
Customer F,858239,7,15,2,32,24
Customer A,112678,30,9,8,7,24
Customer C,561540,15,20,8,42,30
Customer H,818804,15,1,6,23,7
Customer C,312874,7,31,7,36,33
Customer D,644229,15,34,5,21,41
Customer H,338698,60,35,2,5,21
Customer E,617915,30,29,0,50,18
Customer I,447455,15,1,9,24,19
Customer B,740266,60,24,3,34,20
Customer H,852930,60,9,9,19,22
Customer B,150932,60,4,0,9,9
Customer C,965923,7,12,1,32,15
Customer G,739880,45,33,9,45,42
Customer J,318371,7,23,3,39,22
Customer D,737603,45,5,7,41,18
Customer A,428458,60,26,5,46,32
Customer I,92627,7,19,1,14,19
Customer I,151836,7,14,8,25,28
Customer D,647717,15,35,8,27,45
Customer B,853506,60,22,10,30,34
Customer B,224912,15,35,6,33,31
Customer F,739472,15,34,9,29,53
Customer I,390424,30,26,10,28,31
Customer F,687967,15,36,8,14,35
Customer E,427496,45,28,6,1,33
Customer A,348301,60,1,8,9,19
Customer E,282665,15,20,0,50,15
Customer E,630557,60,35,9,37,40
Customer F,213690,15,16,5,38,23
Customer D,294312,30,19,1,37,5
Customer B,808729,30,30,2,32,33
Customer J,909324,7,38,10,20,57
Customer G,132289,7,21,5,28,27
Customer G,959986,7,14,10,39,38
Customer G,106757,30,33,0,21,18
Customer I,642354,15,20,8,45,30
Customer G,517262,60,36,8,6,39
Customer D,502917,30,25,2,9,17
Customer A,624779,45,16,1,26,17
Customer I,505596,15,8,7,36,21
Customer J,255625,60,39,8,16,45
Customer D,125124,30,27,5,44,28
Customer G,494114,30,22,3,21,19
Customer F,672725,7,19,2,23,7
Customer H,703453,15,28,0,15,13
Customer D,768651,30,9,1,8,10
Customer J,204850,30,0,5,45,5
Customer B,369939,45,30,0,22,21
Customer D,622967,60,16,8,31,31
Customer J,815380,15,1,6,38,22
Customer E,228593,7,18,3,45,16
Customer J,334459,7,29,10,1,46
Customer F,956265,7,1,4,42,16
Customer G,292397,45,32,1,21,16
Customer B,245472,15,32,7,36,36
Customer A,91683,15,33,4,22,22
Customer A,413625,30,22,10,20,33
Customer D,575600,30,3,10,17,28
Customer A,631896,30,14,2,22,5
Customer G,738842,15,5,6,34,26
Customer D,487605,15,36,2,28,27
Customer E,684775,30,28,8,9,33
Customer I,767276,15,8,4,45,20
Customer I,191822,45,9,10,37,28
Customer I,608850,7,11,5,10,16
Customer A,852616,30,26,6,20,20
Customer E,209338,15,6,2,12,14
Customer A,849484,60,39,4,39,32
Customer D,292129,7,22,1,45,17
Customer H,190600,60,38,7,46,35
Customer G,565318,45,8,2,13,6
Customer D,83795,45,0,4,27,8
Customer D,844586,15,4,2,29,19
Customer J,563742,30,29,3,28,23
Customer G,805185,30,25,9,48,36
Customer J,672650,60,33,10,46,41
Customer H,529094,7,15,8,35,20
Customer G,820881,7,35,6,34,40
Customer D,355323,45,25,4,50,11
Customer E,533757,15,27,4,40,33
Customer C,536097,45,5,8,8,14
Customer C,866558,60,34,2,26,24
Customer C,525718,60,12,7,6,23
Customer E,389817,15,7,1,8,6
Customer B,599262,45,32,9,11,30
Customer G,627079,45,2,2,22,0
Customer C,219999,15,11,0,27,6
Customer E,374553,45,18,10,12,32
Customer D,53704,60,16,0,30,12
Customer H,946963,45,34,0,39,28
Customer J,741505,45,29,6,29,30
Customer B,680421,60,0,3,36,4
Customer D,101295,15,9,0,42,15
Customer F,88504,15,2,10,37,24
Customer B,101413,7,26,2,11,19
Customer E,690774,60,36,8,12,46
Customer F,87581,7,19,5,24,22
Customer G,910109,7,27,8,5,36
Customer E,395200,60,26,8,14,34
Customer D,691784,7,6,9,47,28
Customer B,557157,60,18,6,39,22
Customer F,322273,60,36,9,23,46
Customer H,594951,45,31,2,40,21
Customer D,793007,30,12,0,8,18
Customer B,823291,15,39,6,27,42
Customer A,400006,30,35,10,14,44
Customer E,316776,7,19,4,33,22
Customer I,389658,7,7,10,22,20
Customer J,80531,15,12,5,22,26
Customer H,547549,7,8,7,10,12
Customer I,989449,30,29,6,48,25
Customer A,925671,60,19,9,47,29
Customer A,268379,60,21,5,5,17
Customer C,344083,7,21,6,41,24
Customer J,458489,15,38,1,49,28
Customer E,789525,30,2,4,27,20
Customer F,523858,30,13,8,20,28
Customer C,167683,30,2,3,6,6
Customer H,998914,60,9,3,22,15
Customer H,818020,60,19,5,10,25
Customer I,759589,15,13,0,30,11
Customer G,798344,60,7,0,20,14
Customer J,964227,7,21,7,3,28
Customer B,595865,30,1,9,49,13
Customer F,260297,15,18,4,35,31
Customer F,860326,45,7,4,10,16
Customer J,636810,60,6,3,35,11
Customer F,626051,30,17,2,46,17
Customer C,124703,30,39,5,35,28
Customer H,103190,15,1,7,44,20
Customer B,497181,45,11,9,38,25
Customer H,696253,30,19,5,13,20
Customer I,132361,45,36,2,6,20
Customer H,151987,45,19,10,42,29
Customer D,284665,15,39,4,24,29
Customer G,242259,30,20,7,32,31
Customer F,551903,45,10,4,50,15
Customer F,683801,60,8,8,7,13
Customer B,391699,60,4,4,35,14
Customer H,470286,60,26,3,40,22
Customer H,452460,7,21,3,45,24
Customer J,502091,45,36,5,35,31
Customer B,825282,60,31,1,38,22
Customer J,535394,30,35,1,29,30
Customer B,677320,7,38,6,21,49
Customer H,726320,7,5,3,9,22
Customer A,843853,15,9,7,35,16
Customer E,458926,60,36,7,13,39
Customer E,647978,30,27,5,6,36
Customer J,58513,60,32,6,9,33
Customer I,105708,7,35,5,8,32
Customer E,957730,7,15,6,45,20
Customer G,475756,45,27,8,14,28
Customer C,547938,15,12,8,25,27
Customer G,211760,30,8,2,1,5
Customer B,729885,7,9,7,43,9
Customer B,193885,45,29,9,28,41
Customer J,238531,45,32,6,36,34
Customer D,244816,45,38,0,37,20
Customer H,937938,15,32,4,27,39
Customer A,89704,60,30,5,8,26
Customer J,554923,7,9,8,49,23
Customer B,598779,60,5,3,31,3
